,Rating,Boxer,Country,Weight,Ceiling,Action,Promoter,Trainer,Sex
924,925,"Montiel, Juan Macias",MX,160,1.0,3.0,Sampson,"Montiel, Pedro",Male
925,926,"Montoya, Abraham",MX,130,1.0,4.0,CTT,,Male
926,927,"Montoya, Adrian",MX,122,1.0,3.0,,"Cruz, Edgar",Male
927,928,"Moran, Antonio",MX,140,1.0,3.0,All Star Boxing,"Baro, Miguel",Male
928,929,"Mould, Reece",GB,126,1.0,3.0,VIP,"O'Hagan, Sean",Male
929,930,"Nasiyuwula, Baishanbo",CN,140,1.0,3.0,Max Power,"Albia, Franklin",Male
930,931,"Navarro, Jonathan",US,140,1.0,4.0,,"Garcia, Robert",Male
931,932,"Newman II, Kevin ",US,168,1.0,3.0,,"Jones, Roy",Male
932,933,"Ngabu, Yves",BE,200,1.0,2.0,,"Ingle, Dominic",Male
933,934,"Nieves, Antonio",US,118,1.0,3.0,,"Delguyd, Joseph",Male
934,935,"Nikitin, Vladimir",RU,126,1.0,3.0,,"Contreras, Marco",Male
935,936,"Nulsutanov, Meiirim",KZ,160,1.0,2.0,Main Events,"McGirt, Buddy",Male
936,937,"Nunez, Cesar",ES,168,1.0,3.0,MGZ,,Male
937,938,"Ochoa, Francisco",US,130,1.0,2.0,,,Male
938,939,"Ochoa, Isidro",US,122,1.0,2.0,,"Garcia, Robert",Male
939,940,"Okada, Hiroki",JP,140,1.0,3.0,,"Ishihara, Yuta",Male
940,941,"Oquendo, Jonathan",PR,130,1.0,3.0,Miguel Cotto,,Male
941,942,"Osueke, Lawrence",GB,175,1.0,1.0,,"Gittus, Nik",Male
942,943,"Pacheco, Diego ",US,168,1.0,4.0,Matchroom,"Garcia, Rudy",Male
943,944,"Paulin, Lewis",GB,126,1.0,3.0,Alex Morrison,,Male
944,945,"Penalosa, Dave ",PH,126,1.0,2.0,,"Penalosa, Jonathan",Male
945,946,"Perez, Darleys",CO,140,1.0,2.0,,"Mercado, Alvaro",Male
946,947,"Pierce, Elijah",US,126,1.0,3.0,,,Male
947,948,"Pitters, Shakan",GB,175,1.0,4.0,Hennessy,"Counihan, Paul",Male
948,949,"Plania, Mike ",PH,122,1.0,3.0,M&amp;R,"Fernandez, Osmiri",Male
949,950,"Potapov, Nikolai",RU,118,1.0,2.0,Salita,"Meltcer, Marek",Male
950,951,"Quigley, Jason",IE,160,1.0,2.5,Golden Boy,"Lee, Andy",Male
951,952,"Ramirez, Cesar",MX,118,1.0,3.0,,"Bracomontes, Francisco",Male
952,953,"Reed, Mike",US,130,1.0,2.0,,,Male
953,954,"Reid, Lucien",GB,122,1.0,2.0,Queensberry,"Smith, Alan",Male
954,955,"Rhodes, Lydell",US,130,1.0,2.0,,"Garcia, Danny",Male
955,956,"Rincon, George",US,140,1.0,3.0,Golden Boy,,Male
956,957,"Ritson, Lewis ",GB,140,1.0,3.0,Probellum,"Fannan, Neil",Male
957,958,"Rivera, Jean Carlos",PR,126,1.0,3.0,,"Lopez, Alex",Male
958,959,"Rivera, Rafael",MX,126,1.0,3.0,,"Moran, Pedro",Male
959,960,"Rivera, Richard",US,200,1.0,3.0,Star,"Blanco, Tony",Male
960,961,"Robinson, Jacob",GB,126,1.0,2.0,MTK Global,"Robinson, Steve",Male
961,962,"Robles III, Manny",US,126,1.0,2.0,,"Hernandez, Rudy",Male
962,963,"Rodriguez, Edwin",PR,118,1.0,3.0,,"Galarza, Arnaldo",Male
963,964,"Rojas, Tomas",MX,130,1.0,3.0,Pueblo,,Male
964,965,"Romero, Jose Matias",AR,130,1.0,3.0,Sampson,"Caicedo, Herman",Male
965,966,"Rosia, Renz",PH,112,1.0,3.0,,,Male
966,967,"Sadjo, Kevin Lele",FR,168,1.0,4.0,,,Male
967,968,"Sanchez, Emilio",US,126,1.0,3.0,,"Diaz, Joel",Male
968,969,"Sanchez, Jason",US,126,1.0,3.0,,"Luis, Jose",Male
969,970,"Sanchez, Jose Tito",US,126,1.0,4.0,Thompson,"Diaz, Joel",Male
970,971,"Scardina, Daniele",IT,168,1.0,2.0,OPI Since 82,"Spencer, Dino",Male
971,972,"Seals, Michael",US,175,1.0,4.0,,"Allen, Robert",Male
972,973,"Sharp, Archie",GB,130,1.0,2.0,Probellum,"Sawyer, Richie",Male
973,974,"Shekhov, Mukhammad",RU,122,1.0,3.0,,,Male
974,975,"Shimizu, Satoshi",JP,130,1.0,3.0,Ohashi,"Matsumoto, Koji",Male
975,976,"Signani, Matteo",IT,160,1.0,2.0,OPI Since 82,"Gordini, Meo",Male
976,977,"Sims Jr, Anthony ",US,168,1.0,2.0,,"Doolin, James",Male
977,978,"Singh, Vijender",IN,168,1.0,2.0,,"Beard, Lee",Male
978,979,"Smith, Donald",US,126,1.0,2.0,,"Smith, Lamar",Male
979,980,"Socarras, Hairon ",CU,126,1.0,3.0,Heavyweight Factory,"Rubio, Jorge",Male
980,981,"Solano, Yeis",CO,140,1.0,3.0,,"Quirarte, Romulo",Male
981,982,"Spelman, Dec ",GB,175,1.0,4.0,Carl Greaves,,Male
982,983,"Sterling, Andre",GB,175,1.0,2.0,MHM,"Lawrence, Brian",Male
983,984,"Sugden, Chad ",GB,175,1.0,3.0,,"Sugden, Dean",Male
984,985,"Surtees, Darren",GB,140,1.0,3.0,,"Binns, Dave",Male
985,986,"Szello, Imre",HU,200,1.0,3.0,Felix,"Bertok, Robert",Male
986,987,"Szeremeta, Kamil",PL,160,1.0,3.0,Knockout Promotions,"Lapin, Fiodor",Male
987,988,"Szpilka, Artur",PL,200,1.0,2.5,,"Anuchin, Roman",Male
988,989,"Tarimo, Bruno",AU,130,1.0,4.0,,"Hyder, Angelo",Male
989,990,"Tepora, Jhack",PH,126,1.0,3.0,,"Tepora, Christopher",Male
990,991,"Terentiev, Evgeny",RU,160,1.0,2.0,,,Male
991,992,"Thawornkham, Sarawut",TH,112,1.0,2.0,Galaxy,,Male
992,993,"Tinoco, Mario Enrique",MX,130,1.0,3.0,,,Male
993,994,"Torres, Armando",MX,108,1.0,3.0,,"Lopez, Arturo",Male
994,995,"Torres, Jean Carlos",PR,140,1.0,4.0,Mayweather,"Calderon, Ivan",Male
995,996,"Toutin, Louis",FR,168,1.0,4.0,Univent,"Germain, Joseph",Male
996,997,"Turchi, Fabio",IT,200,1.0,3.0,OPI Since 82,"Turchi, Leonardo",Male
997,998,"Turrubiartes, Irving",MX,126,1.0,2.0,Zanfer,"Valdez, Mariano",Male
998,999,"Ulysse Jr, Yves",CA,140,1.0,2.0,,"Boisvert, Renald",Male
999,1000,"Uthok, Panya",TH,126,1.0,2.0,,,Male
1000,1001,"Valdes, Brandon",CO,122,1.0,3.0,RJJ,"Jasso, Edgar",Male
1001,1002,"Vargas, Antonio",US,118,1.0,2.0,,"Ocasio, Tito",Male
1002,1003,"Vazquez, Damien",US,118,1.0,3.0,,"Casamayor, Joel",Male
1003,1004,"Vences, Andy",US,130,1.0,3.0,,"Perales, Charles",Male
1004,1005,"Vicente, Yenifel",DO,122,1.0,3.0,,"Bonilla, Jose",Male
1005,1006,"Vidal, Amilcar",UY,160,1.0,3.0,PBC,"Vidal, Richard ",Male
1006,1007,"Villanueva, Arthur",PH,118,1.0,2.0,ALA,"Villamor, Edito",Male
1007,1008,"Vivas, Jose Enrique",MX,126,1.0,3.0,Top Rank,"Jimenez, Antonio",Male
1008,1009,"Walsh, Ryan",GB,126,1.0,3.0,MTK Global,"Everett, Graham",Male
